context,CPP,Energy,H1A1c,H1A2c,H1A3c,H1H2c,H2H4c,H2KH5Kc,H42Kc,HNR05,HNR15,HNR25,HNR35,SHR,soe,Z1mnZ0,Z2mnZ1,Z3mnZ2,Z4mnZ3,F0Bark,A1mnA2,A1mnA3,A2mnA3
Non-Guttural,24.59916667,8.798833333,17.51183333,18.537,8.2515,1.037666667,4.587833333,18.8,4.984333333,23.01466667,19.82,23.20716667,23.064,0.439833333,0.047833333,5.107271767,4.883328921,4.539016598,1.443840682,0.981926249,1.025333333,-9.260333333,-10.28566667
Non-Guttural,23.13,12.16033333,14.86366667,13.58933333,4.3775,0.206833333,1.806333333,13.57516667,8.6305,15.049,13.44616667,16.0975,15.95116667,0.533166667,0.0425,4.967301816,5.120886873,4.271870877,1.778759983,1.045486328,-1.274166667,-10.486,-9.211833333
Non-Guttural,20.25466667,6.975,15.61466667,13.732,7.873833333,-2.154666667,6.003,15.46333333,7.860166667,13.30183333,11.66283333,15.00216667,17.371,0.396166667,0.038333333,4.949883049,5.360153696,4.036523802,2.279009825,0.966342909,-1.882833333,-7.741,-5.858166667
Non-Guttural,22.08516667,6.258166667,17.59533333,18.00833333,12.50683333,0.701,4.588333333,10.938,9.4175,19.72033333,19.60733333,21.99166667,22.34983333,0.396166667,0.048666667,4.90305339,5.37552084,4.2849275,1.92119658,0.99407656,0.413166667,-5.088666667,-5.501833333
Non-Guttural,25.8965,9.1085,15.7,12.86933333,4.345666667,0.108333333,4.0405,16.11916667,6.563666667,24.10766667,25.35,25.75416667,23.19666667,0.428166667,0.049,4.801745738,5.479286513,3.981642227,1.56117905,0.996270818,-2.830666667,-11.3545,-8.523833333
Non-Guttural,20.51766667,5.768166667,17.136,14.1295,5.224,0.030166667,7.027666667,19.38016667,5.119666667,10.877,12.57083333,15.77716667,16.32733333,0.434666667,0.056333333,4.64368096,5.806624417,4.043797403,1.54696688,0.937904248,-3.0065,-11.91216667,-8.905666667
Guttural,23.53283333,22.75333333,15.162,16.037,-3.297166667,-1.184166667,2.6465,23.242,-0.793333333,15.08183333,10.99166667,16.987,16.96566667,0.425166667,0.042833333,5.076974031,2.994891968,6.388857091,0.97432941,1.09483158,0.874833333,-18.45916667,-19.334
Guttural,25.715,22.83116667,13.19633333,11.624,-5.915833333,-0.739166667,1.6495,16.46616667,3.222,27.608,23.17716667,28.37033333,25.54933333,0.358333333,0.044833333,5.160356442,3.709607573,5.940065796,1.27069063,0.988320744,-1.5715,-19.1115,-17.54
Guttural,19.616,9.157166667,16.54766667,18.54883333,0.603666667,-0.928333333,4.496,18.53516667,3.877333333,8.078333333,4.946666667,15.20766667,17.18033333,0.392833333,0.042166667,4.827702407,3.624215216,6.359362238,1.813082648,1.019573001,2.000833333,-15.944,-17.94483333
Guttural,23.5905,17.183,15.99916667,20.108,-7.629833333,0.782333333,2.416666667,28.222,1.8515,18.36466667,16.28666667,22.52316667,19.9065,0.3835,0.044666667,4.810221757,3.510301681,6.245376925,0.789380248,1.04110442,4.108833333,-23.62866667,-27.7375
Guttural,26.01966667,15.58166667,14.54516667,14.597,-6.729,0.044166667,3.128,27.62366667,3.150166667,25.31466667,23.03833333,28.18866667,24.945,0.42,0.040833333,4.712837551,3.895518065,5.824021248,0.961970983,1.037399513,0.051666667,-21.2745,-21.32616667
Guttural,24.528,14.4425,16.60483333,16.568,-5.458833333,1.3385,4.508333333,21.648,2.889,15.229,12.9435,19.85783333,18.14616667,0.310333333,0.049833333,4.847711929,3.711639947,6.112989712,0.590968577,1.019048536,-0.036833333,-22.06366667,-22.02683333
Non-Guttural,22.7175,9.528166667,15.41833333,13.639,16.137,-0.910833333,5.394333333,16.833,6.592166667,14.08016667,12.78583333,13.68066667,16.03733333,0.438833333,0.042,4.784600072,5.839025558,3.047939542,1.812965563,1.08151298,-1.779166667,0.718833333,2.498
Non-Guttural,24.37,17.03266667,13.728,12.03983333,8.990166667,-1.046,4.041166667,18.45466667,5.756333333,14.74833333,12.82816667,12.887,12.91733333,0.371833333,0.040833333,4.971240045,5.629345021,3.18241698,1.505462975,1.076367769,-1.688333333,-4.738,-3.049666667
Non-Guttural,21.89033333,11.273,13.5025,11.02183333,13.02466667,-1.529,4.097,12.57116667,8.348,16.2555,15.07283333,14.64283333,15.44483333,0.390166667,0.042666667,4.853353494,5.676637983,2.965737453,2.230657377,1.068727308,-2.481,-0.478,2.003
Non-Guttural,26.91466667,11.08866667,13.86633333,10.18316667,11.97783333,0.261833333,4.939666667,14.52833333,6.48,26.77083333,29.6795,27.09616667,25.217,0.3485,0.0465,4.441409612,6.469291629,2.678268233,1.78588393,1.055523407,-3.683,-1.888666667,1.794333333
Non-Guttural,28.23716667,12.61766667,13.68,9.372166667,9.454333333,0.5345,2.357833333,19.4855,4.337166667,27.61316667,30.16416667,28.475,27.38333333,0.367166667,0.048333333,4.610029115,6.236503452,2.774860622,1.719711048,1.017433122,-4.3075,-4.2255,0.082
Non-Guttural,23.68433333,7.080666667,14.808,12.23283333,15.105,-0.184833333,5.2285,15.063,8.431166667,22.39066667,25.571,22.16733333,21.48583333,0.416833333,0.047666667,4.314453039,6.77906781,2.400750735,1.97892391,0.985412731,-2.575333333,0.2965,2.871833333
Guttural,23.05033333,18.63616667,14.98316667,15.77066667,-5.939333333,-0.210833333,2.114666667,26.27516667,2.230166667,18.70516667,13.3815,19.21466667,17.034,0.595166667,0.045333333,5.171512596,3.356129923,5.82294318,1.18896664,1.031325697,0.787333333,-20.92266667,-21.71
Guttural,22.23483333,9.035333333,17.085,18.3955,2.1025,-0.742166667,3.409166667,19.06983333,6.570833333,19.00083333,14.64233333,21.73733333,21.34783333,0.478,0.046,5.149395533,3.430090433,6.081195847,1.407371873,0.993644769,1.310666667,-14.98216667,-16.29283333
Non-Guttural,20.979,9.864333333,14.8075,15.73883333,5.3735,-0.863333333,3.485333333,20.5365,9.719333333,23.19366667,17.7055,20.14916667,18.74283333,0.377833333,0.04,5.243163935,4.552913101,4.461767517,1.403945418,1.033178737,0.931333333,-9.433666667,-10.365
Non-Guttural,21.14083333,10.61066667,12.6925,14.74116667,2.1615,-1.599833333,3.5955,12.15133333,8.064,16.59866667,13.24933333,16.11866667,15.05416667,0.364666667,0.043,5.539985478,4.48381719,4.351460168,1.658235823,0.966769111,2.048833333,-10.531,-12.57983333
Non-Guttural,22.30266667,15.19483333,11.88166667,11.92866667,2.484,-3.087166667,4.0465,10.77066667,7.899,24.8505,19.58533333,21.23983333,19.30483333,0.456,0.040166667,5.290312271,4.583681614,4.186065443,1.319093742,1.021617692,0.047,-9.397666667,-9.444666667
Non-Guttural,25.05966667,12.53633333,14.51633333,12.89966667,7.667,-1.056,3.8145,17.24116667,7.6485,24.97983333,22.90983333,23.70483333,22.7405,0.570833333,0.0405,4.771482935,5.41806005,3.899899183,1.840845222,1.031295669,-1.616666667,-6.8495,-5.232833333
Non-Guttural,26.61183333,12.1275,12.86166667,11.78183333,4.3815,-0.745333333,2.270833333,14.9815,9.571166667,26.69333333,25.60933333,26.6975,25.4935,0.325166667,0.035833333,4.675955662,5.51037564,3.877880698,1.948727588,1.022651531,-1.079666667,-8.479833333,-7.400166667
Non-Guttural,26.61433333,10.86483333,15.53816667,14.12316667,5.650166667,0.741166667,3.09,20.4875,6.792833333,24.99016667,25.90133333,26.91566667,25.45566667,0.314,0.046,4.590206462,5.598965538,3.908664537,1.871919252,1.009437871,-1.415,-9.888,-8.473
Guttural,28.409,25.50766667,12.53116667,15.1445,-3.332666667,-1.5885,3.8035,25.61216667,-2.147,25.133,21.51416667,25.73266667,23.86616667,0.404833333,0.041833333,4.830886935,3.699086143,5.660729003,1.469250627,1.059373664,2.6135,-15.86383333,-18.47733333
Guttural,28.20016667,15.78483333,14.67683333,16.25516667,-0.052833333,0.108,3.495166667,22.45066667,1.006833333,29.37733333,27.2275,31.594,29.1475,0.497,0.0445,4.745195268,3.985418612,5.44973768,1.51453044,1.056250699,1.578333333,-14.73016667,-16.3085
Guttural,21.94183333,8.381166667,15.32766667,18.29833333,3.297166667,-2.285666667,6.676666667,25.5835,2.382166667,13.0445,10.37333333,18.16666667,18.561,0.423666667,0.035,4.532739275,4.086173527,5.548765727,1.49879084,1.074959146,2.971,-12.03016667,-15.00116667
Non-Guttural,23.95433333,7.348666667,16.8785,18.941,13.21283333,0.298166667,3.9785,12.1665,10.34266667,20.27316667,19.0075,23.47183333,24.50083333,0.551166667,0.044166667,5.033397945,5.017628647,4.692735722,1.702794075,1.056131485,2.062833333,-3.665333333,-5.728166667
Non-Guttural,23.43966667,10.969,14.6695,15.39333333,13.32983333,-0.877333333,4.6025,13.907,7.909833333,19.28983333,16.6965,20.063,21.51666667,0.553333333,0.046333333,5.012424271,5.022236068,4.199268537,2.381276925,1.047073976,0.723666667,-1.340166667,-2.063833333
Non-Guttural,25.63433333,10.97633333,14.37933333,15.24416667,6.611833333,-1.170833333,5.574,20.5225,3.663833333,18.9615,16.75733333,19.977,20.21566667,0.404166667,0.0415,4.937666398,5.05940554,4.305105708,1.518269162,1.024220521,0.8645,-7.767666667,-8.632166667
Guttural,25.25916667,16.427,14.6215,17.85166667,2.645833333,-0.720833333,2.354166667,26.10983333,2.104833333,22.36916667,19.375,26.431,25.35083333,0.463833333,0.0375,5.092666302,2.866768229,6.592869849,1.17489703,1.048666183,3.230333333,-11.97566667,-15.206
Guttural,26.77416667,14.13116667,13.04383333,16.166,-0.003833333,-0.939166667,0.855666667,23.2985,4.388833333,30.04016667,27.74066667,34.19633333,32.10366667,0.469833333,0.0375,5.105569686,3.29085582,6.104831478,1.300589157,1.019007694,3.122166667,-13.0475,-16.16966667
Guttural,23.544,9.209166667,15.923,18.27333333,6.712333333,-0.815833333,4.024,22.90866667,4.246166667,18.14666667,15.28583333,23.9525,25.29016667,0.5055,0.045666667,4.953865634,3.377111186,6.462481681,1.523677303,1.062459655,2.350333333,-9.2105,-11.56083333
Non-Guttural,24.311,4.508166667,18.3765,22.09816667,6.473666667,0.867666667,3.85,19.07533333,10.87716667,21.992,20.825,26.46633333,25.22733333,0.671333333,0.042666667,4.936553885,4.717692403,4.807756183,1.450342962,1.032730928,3.7215,-11.90266667,-15.62416667
